feature_name,baseline_mean,current_mean,baseline_median,current_median,baseline_std,current_std,relative_mean_change,psi,distribution_distance,drift_status,status
amount_vs_account_average,1.989964770994699,1.5955493466195103,0.874619948499491,0.5429485009520334,8.459458016825767,4.343088054934453,0.19820221449349437,0.22898865785326494,0.22898865785326494,warning,warning
amount_vs_customer_average,1.5897140630300106,1.3647500621199338,0.6254313179711103,0.49888886184020365,5.87143072548023,3.584826302569904,0.14151224181869113,0.0858718685562284,0.0858718685562284,healthy,healthy
amount,63.4383651226158,65.7183378746594,27.87,27.060000000000002,205.84428637845858,154.69824982661302,0.03593996704733469,0.023068615250470784,0.023068615250470784,healthy,healthy
log_transaction_amount,3.4259588170975226,3.4221656747017737,3.362795734872691,3.3343450111712483,1.05583090638872,1.095425464523975,0.0011071768804747225,0.023068615250470784,0.023068615250470784,healthy,healthy
transaction_amount_customer_24h,6.4158991825613105,8.133937329700274,0.0,0.0,54.45270943480154,87.49915167919733,0.26777823314441485,0.005148572842133094,0.005148572842133094,healthy,healthy
transaction_velocity_score,0.11225821675537291,0.10072595133321909,0.0,0.0,0.35259437733591303,0.354842870278,0.10272981128218275,0.005148572842133094,0.005148572842133094,healthy,healthy
cross_border_transaction_count_7d,0.5599455040871935,0.6171662125340599,0.0,0.0,0.7334573403100678,0.8115512324499943,0.10218978102189773,0.0036545637728223955,0.0036545637728223955,healthy,healthy
transaction_count_customer_24h,0.11307901907356949,0.08991825613079019,0.0,0.0,0.3334536505726646,0.2860646139339639,0.2048192771084338,0.003532423199517529,0.003532423199517529,healthy,healthy
country_mismatch_flag,0.9373297002724795,0.9305177111716622,1.0,1.0,0.24236900226634425,0.25427249235321014,0.007267441860465046,0.0,0.0,healthy,healthy
risky_session_flag,0.3746594005449591,0.388283378746594,0.0,0.0,0.4840348480515128,0.487359617259907,0.03636363636363646,0.0,0.0,healthy,healthy
